hsa-mir-21,hsa-mir-10b,hsa-mir-139,hsa-mir-429,hsa-mir-200a,hsa-mir-1247,hsa-mir-200c,hsa-mir-200b,hsa-mir-204,hsa-mir-145,hsa-mir-141,hsa-mir-671,hsa-mir-4677,hsa-mir-182,hsa-mir-6892,hsa-mir-483,hsa-mir-1307,hsa-mir-98,hsa-mir-769,hsa-mir-3613,hsa-mir-191,hsa-mir-148b,hsa-mir-340,hsa-let-7c,hsa-mir-1468,hsa-mir-181c,hsa-mir-125b-1,hsa-mir-96,hsa-mir-125b-2,hsa-mir-192,hsa-mir-493,hsa-mir-100,hsa-mir-342,hsa-mir-99a,hsa-mir-452,hsa-mir-331,hsa-mir-301a,hsa-mir-335,hsa-mir-32,hsa-mir-7-1,hsa-mir-365b,hsa-mir-365a,hsa-mir-143,hsa-mir-615,hsa-mir-3127,hsa-mir-190b,hsa-mir-195,hsa-mir-3677,hsa-mir-155,hsa-mir-196a-2,hsa-mir-196a-1,hsa-mir-330,hsa-mir-4326,hsa-mir-140,hsa-mir-377,hsa-mir-149,hsa-mir-891a,hsa-mir-495,hsa-mir-503,hsa-mir-103a-1,hsa-mir-103a-2,hsa-mir-5683,hsa-mir-19a,hsa-mir-183,hsa-mir-99b,hsa-mir-379,hsa-mir-337,hsa-let-7e,hsa-mir-151a,hsa-mir-454,hsa-mir-3074,hsa-mir-590,hsa-mir-126,hsa-mir-210,hsa-mir-33a,hsa-mir-205,hsa-mir-629,hsa-mir-193a,hsa-mir-93,hsa-mir-181d,hsa-mir-376c,hsa-mir-181b-1,hsa-mir-758,hsa-mir-551b,hsa-mir-320b-2,hsa-mir-3200,hsa-mir-142,hsa-mir-497,hsa-mir-432,hsa-mir-511,hsa-mir-940,hsa-mir-328,hsa-mir-181b-2,hsa-mir-423,hsa-mir-766,hsa-mir-28,hsa-mir-92b,hsa-mir-744,hsa-mir-326,hsa-mir-134,hsa-mir-501,hsa-mir-3614,hsa-mir-22,hsa-mir-675,hsa-mir-431,hsa-mir-887,hsa-mir-345,hsa-mir-4668,hsa-mir-6510,hsa-mir-130b,hsa-mir-370,hsa-mir-381,hsa-mir-767,hsa-mir-338,hsa-mir-1271,hsa-mir-135b,hsa-mir-1301,hsa-mir-500a,hsa-mir-17,hsa-mir-296,hsa-mir-628,hsa-mir-485,hsa-mir-187,hsa-mir-27a,hsa-mir-455,hsa-mir-655,hsa-mir-708,hsa-mir-4661,hsa-mir-378c,hsa-mir-574,hsa-mir-215,hsa-mir-33b,hsa-mir-218-1,hsa-mir-181a-1,hsa-mir-106b,hsa-mir-20a,hsa-mir-218-2,hsa-mir-320b-1,hsa-mir-376b,hsa-mir-369,hsa-mir-491,hsa-mir-29a,hsa-mir-411,hsa-mir-34a,hsa-mir-30e,hsa-mir-154,hsa-mir-539,hsa-mir-1266,hsa-mir-15a,hsa-mir-323a,hsa-mir-148a,hsa-mir-374b,hsa-let-7g,hsa-mir-29b-1,hsa-mir-487b,hsa-mir-654,hsa-mir-19b-1,hsa-mir-105-1,hsa-mir-105-2,hsa-mir-184,hsa-mir-214,hsa-mir-660,hsa-mir-130a,hsa-mir-299,hsa-mir-26a-1,hsa-mir-26a-2,hsa-mir-181a-2,hsa-mir-146a,hsa-mir-9-2,hsa-mir-584,hsa-mir-9-3,hsa-mir-1258,hsa-mir-3653,hsa-mir-9-1,hsa-mir-500b,hsa-mir-29b-2,hsa-mir-412,hsa-mir-382,hsa-mir-616,hsa-mir-496,hsa-mir-3607,hsa-mir-19b-2,hsa-mir-582,hsa-mir-324,hsa-mir-3065,hsa-let-7i,hsa-mir-128-2,hsa-mir-107,hsa-mir-203b,hsa-mir-128-1,hsa-mir-425,hsa-mir-1296,hsa-mir-127,hsa-mir-146b,hsa-mir-889,hsa-mir-193b,hsa-mir-542,hsa-mir-625,hsa-mir-339,hsa-mir-223,hsa-let-7d,hsa-mir-125a,hsa-mir-374a,hsa-mir-217,hsa-mir-409,hsa-mir-378a,hsa-mir-4728,hsa-mir-664b,hsa-mir-450b,hsa-mir-224,hsa-mir-410,hsa-let-7b,hsa-mir-15b,hsa-mir-1180,hsa-mir-106a,hsa-mir-375,hsa-mir-1306,hsa-mir-203a,hsa-mir-18a,hsa-mir-3615,hsa-mir-197,hsa-let-7f-2,hsa-mir-194-2,hsa-let-7f-1,hsa-mir-152,hsa-mir-190a,hsa-mir-1245a,hsa-mir-589,hsa-mir-1269b,hsa-mir-4772,hsa-mir-508,hsa-mir-451a,hsa-mir-484,hsa-mir-199a-1,hsa-mir-944,hsa-mir-144,hsa-mir-486-2,hsa-mir-194-1,hsa-mir-486-1,hsa-mir-199a-2,hsa-mir-1269a,hsa-mir-502,hsa-let-7a-2,hsa-mir-449a,hsa-mir-30c-1,hsa-mir-361,hsa-mir-132,hsa-mir-362,hsa-mir-4662a,hsa-mir-664a,hsa-mir-532,hsa-mir-30d,hsa-mir-577,hsa-mir-186,hsa-mir-135a-2,hsa-mir-34c,hsa-mir-199b,hsa-mir-153-2,hsa-mir-101-1,hsa-mir-101-2,hsa-mir-23a,hsa-mir-934,hsa-mir-874,hsa-mir-29c,hsa-mir-31,hsa-mir-135a-1,hsa-mir-3605,hsa-mir-20b,hsa-mir-935,hsa-mir-30a,hsa-mir-136,hsa-mir-27b,hsa-mir-133a-2,hsa-mir-133a-1,hsa-let-7a-1,hsa-let-7a-3,hsa-mir-576,hsa-mir-1-2,hsa-mir-1-1,hsa-mir-133b,hsa-mir-185,hsa-mir-206,hsa-mir-652,hsa-mir-30b,hsa-mir-92a-2,hsa-mir-30c-2,hsa-mir-2355,hsa-mir-450a-1,hsa-mir-92a-1,hsa-mir-450a-2,hsa-mir-23b,hsa-mir-942,hsa-mir-26b,hsa-mir-95,hsa-mir-363,hsa-mir-1287,hsa-mir-222,hsa-mir-16-1,hsa-mir-221,hsa-mir-212,hsa-mir-10a,hsa-mir-424,hsa-mir-320a,hsa-mir-505,hsa-mir-642a,hsa-mir-16-2,hsa-mir-25,hsa-mir-653,hsa-mir-24-2,hsa-mir-150,hsa-mir-196b,hsa-mir-24-1,hsa-mir-323b,hsa-mir-1976,hsa-mir-598,label
298157,67852,76,227,2109,51,16233,1358,2,1754,3584,18,14,55032,4,9,1634,68,44,24,1687,367,38,4557,2,147,513,55,559,2704,25,8426,985,1290,30,100,17,76,36,143,244,242,43408,31,15,69,136,29,1152,725,621,63,17,789,1,225,0,6,35,28647,28872,7,31,16045,65739,939,63,2034,2898,23,35,35,6378,752,36,2723,427,879,10643,45,8,895,20,3,6,7,12517,67,7,27,13,57,757,327,23,6603,439,129,22,523,87,0,109338,81,12,4,52,5,1,62,12,24,5,320,5,5,12,642,1015,2,21,7,10,3337,381,2,157,1,4,241,30,19,39,3693,957,228,44,2,4,13,7,8332,9,274,34155,8,14,61,347,3,143797,72,1201,1098,5,21,86,3,2,692,49,58,122,2,1242,1210,3254,335,140,45,123,1,29,115,7,563,4,37,13,4,184,92,725,70,127,879,69,99,3,108,373,9,1127,1656,13,248,236,1146,122,148,705,1597,1517,20,54,431,2,8,24,17,8,67550,375,30,82,25085,12,396,17,0,536,7993,179,7808,319,7,5,162,0,12,6,127,248,5569,0,33,38,178,23,9968,0,6,56021,0,1377,500,103,20,17,48,1126,5233,0,478,0,7,13446,21,6866,6869,7703,0,68,6930,1,1,1,166,2,67924,48,2074,6,1,27864,27881,40,1,6,0,106,0,46,1193,5643,1456,40,8,6300,7,1520,13,1920,2,60,84,40,523,91,2,196033,205,1694,40,27,546,18451,15,838,3607,464,746,6,16,8,normal
54740,268425,464,15,220,182,4838,264,16,7085,322,2,5,4663,5,9,471,23,14,8,356,43,15,15503,10,67,1414,1,1463,98,2,11465,185,2941,200,14,5,191,7,7,764,766,49993,11,2,1,105,1,141,37,21,21,5,1441,3,149,1,11,5,13247,13538,109,4,1123,29288,984,94,812,1429,4,12,7,4107,50,3,10349,123,1096,2383,14,11,76,18,8,1,1,416,50,4,29,1,122,80,128,4,8916,61,30,21,404,57,1,100788,55,22,6,2,2,18,4,12,50,0,226,6,3,7,374,361,9,1,7,6,1243,50,3,40,2,9,164,9,1,27,568,276,173,16,0,0,6,7,7787,9,133,20870,8,12,7,54,1,22225,64,370,329,4,21,46,0,0,1,24,20,121,9,1021,1003,908,68,98,87,80,8,12,84,3,217,3,28,3,1,37,45,89,25,7,785,26,62,10,37,71,11,857,507,6,159,69,187,69,205,545,1629,414,12,26,714,2,6,8,75,5,40953,40,8,5,7020,10,1632,4,1,382,1964,48,1966,202,2,2,48,0,2,5,417,73,2938,4,75,206,57,178,5258,0,10,21618,1,912,452,60,15,15,44,691,8303,11,264,0,8,6950,15,4526,4449,5737,3,27,3118,5,0,1,5,1,84864,20,897,6,6,10861,10823,19,2,2,4,27,1,28,984,6516,1004,49,0,7273,3,1407,5,529,2,3,27,57,85,110,5,47930,28,639,52,5,103,7862,13,504,1014,143,475,1,7,15,normal
42908,522214,604,15,201,148,4570,203,42,11624,223,6,9,6393,8,13,619,43,28,4,435,71,13,11738,25,79,3080,3,3166,572,2,41434,425,12249,138,36,9,330,3,6,648,646,71824,3,6,2,110,3,140,96,67,18,6,2470,7,95,3,9,2,14112,14190,94,22,1855,49611,1174,116,818,2115,3,17,5,7294,145,2,9827,163,1144,2385,20,7,95,27,3,3,3,447,61,13,17,2,172,106,209,3,11084,66,37,18,569,50,2,79759,90,18,9,20,1,17,16,21,77,0,392,8,5,9,490,542,20,16,6,2,1241,184,0,92,3,17,253,12,2,55,902,462,186,46,2,1,13,12,6005,3,157,24501,18,25,9,51,3,31917,70,444,355,7,22,72,0,0,1,41,32,240,10,1436,1477,1329,135,246,121,230,10,17,244,8,415,13,46,6,0,125,61,48,57,14,1218,15,56,14,49,233,16,1456,583,5,152,121,342,75,126,577,3311,262,17,57,1090,3,9,8,80,5,56556,42,11,12,4542,7,2185,3,3,556,2614,74,2646,250,7,2,50,0,6,4,391,72,5757,3,93,199,59,202,9896,0,18,12946,0,1291,581,89,11,15,63,1093,9921,3,476,0,13,13987,17,4407,4483,8792,3,79,1904,8,2,7,7,2,97840,40,954,50,63,13116,13175,21,15,8,10,35,17,18,931,5437,1435,53,4,5865,2,2847,5,622,3,6,37,110,173,120,4,72800,51,700,56,6,154,7964,8,553,1643,409,548,3,7,11,normal
108380,956147,1097,32,352,557,8181,463,27,10678,571,5,6,22083,20,26,754,75,43,6,665,189,14,53711,21,98,2037,3,2265,499,1,67426,236,16914,376,15,1,655,11,27,1215,1213,239235,7,3,1,320,3,393,86,65,36,4,4032,11,151,11,32,3,23860,23665,45,22,4111,35806,3950,153,2343,4906,3,9,10,11049,120,2,5455,222,1987,3638,13,18,125,77,5,8,1,659,130,22,44,1,108,94,259,6,18583,121,60,22,1267,98,1,217149,130,30,2,5,1,39,17,37,152,0,317,13,6,11,866,702,15,54,23,3,3083,113,8,189,12,49,257,42,0,81,870,909,189,58,12,7,22,11,18530,20,211,55837,16,29,31,100,3,49030,366,740,380,8,75,66,0,0,1,43,19,204,19,2521,2471,2419,280,354,336,342,36,16,340,4,464,5,39,3,8,75,77,240,20,16,1300,64,134,21,121,607,15,1728,622,31,206,248,587,52,257,1060,2014,934,40,58,2113,2,12,17,159,15,127436,140,15,34,27680,6,3352,6,8,612,3644,136,3537,570,10,5,123,1,5,9,1817,96,5683,6,438,399,141,441,10617,0,24,47732,1,2099,645,107,18,75,73,1356,20482,8,611,5,21,14972,33,13034,13102,19331,2,60,4745,5,2,2,14,6,240362,37,2427,7,19,23642,24044,15,42,40,8,152,2,64,1853,7607,2331,178,3,7953,4,5404,4,1304,6,24,52,100,431,318,9,117276,94,3842,102,2,464,24957,91,1384,1897,375,1410,2,8,20,normal
273809,717436,860,105,1414,274,20886,1250,117,15829,2449,11,15,69648,38,33,1209,137,78,20,1710,237,51,69258,58,258,4455,24,4620,1150,20,50167,564,11187,127,41,6,358,46,84,667,665,474514,8,17,6,502,11,371,401,331,101,5,4278,16,361,1,39,4,35488,35757,134,26,15597,74420,5673,256,6281,7001,6,18,25,11356,90,17,32307,304,1966,5886,52,50,247,82,1,2,2,1050,187,43,45,3,142,267,342,16,26399,123,105,53,2016,63,5,178846,57,37,7,20,2,95,23,51,184,0,987,8,42,6,736,1547,31,62,13,13,7035,213,15,90,9,14,391,32,2,114,1979,1496,362,87,12,15,36,11,35466,38,288,108304,35,32,31,185,10,85361,389,2639,441,30,80,164,0,1,10,83,61,449,22,5172,5215,4165,242,2000,344,2011,21,14,2015,6,946,5,105,0,4,117,136,318,49,118,2111,87,252,37,123,509,33,3977,1365,30,90,909,690,143,500,1083,5138,3331,82,64,800,8,23,34,34,33,198534,510,25,52,31308,17,7614,12,4,654,27738,241,27446,780,18,5,127,0,15,18,6010,133,10570,17,1226,903,256,877,19116,4,52,180146,0,2826,1063,166,19,52,130,1582,30455,2,924,8,55,27154,29,29723,30231,22911,31,106,13726,33,8,9,10,1,468669,77,4346,5,3,89582,89712,15,16,10,0,108,0,47,6123,13416,3272,133,20,14211,22,5551,18,2981,8,32,75,181,406,475,8,100819,515,3486,104,3,431,33833,128,1974,1919,882,1992,3,30,53,normal
298421,702883,633,59,576,233,13858,526,78,9068,1118,6,12,33405,13,17,1560,98,50,24,857,138,26,20422,25,147,2848,8,2963,267,18,26974,567,5500,164,26,5,267,14,21,377,377,160444,14,12,2,206,6,578,130,106,71,7,3682,26,144,1,33,43,38285,38310,24,21,9866,68159,5675,304,2142,3827,3,18,15,7341,117,8,14388,165,926,5480,40,23,189,106,0,6,2,1463,138,83,79,1,132,200,271,11,17581,89,62,37,1963,140,2,185367,48,67,9,14,3,57,15,78,249,0,606,11,21,14,1308,1207,12,14,28,23,2934,135,8,153,5,6,257,5,2,77,1552,733,357,93,2,9,57,8,20833,38,496,54531,35,82,26,186,14,68245,119,1031,308,31,97,108,0,1,9,42,70,305,18,1809,1800,2760,304,1476,207,1446,10,18,1425,9,341,6,131,6,18,71,98,401,76,22,1864,63,138,43,113,185,12,4042,2569,63,143,1549,780,61,352,850,3225,1857,85,169,802,4,11,92,106,67,68376,151,30,18,11902,10,6123,8,1,461,8789,99,8738,494,17,12,114,0,9,77,418,95,7892,7,164,155,116,146,13666,0,16,29472,0,1950,799,321,31,50,123,1517,17573,17,503,1,49,19164,29,11543,11734,11039,18,47,3271,16,0,5,26,2,223980,98,2213,8,5,29689,29524,21,11,13,0,61,0,30,2293,12105,2115,135,23,13541,28,2590,7,1130,5,4,60,129,180,404,11,95739,377,2330,86,3,163,22604,25,1086,1996,391,1106,10,32,35,normal
89391,1339989,2385,33,301,349,4111,415,105,61525,438,25,16,19562,51,71,4315,98,63,19,2165,305,57,41115,45,180,5995,12,6297,1107,5,80060,385,22533,1177,140,25,1881,40,44,3254,3259,353635,37,11,1,346,19,478,80,56,121,9,6620,13,592,67,39,4,40662,39919,65,28,3745,282538,3536,401,3301,5236,16,74,33,55703,428,27,22120,334,6229,11640,53,21,293,53,79,40,15,2586,403,29,248,10,519,236,565,32,28907,171,167,143,1799,267,11,636051,464,62,31,38,14,18,45,37,150,0,706,31,1,37,2304,2273,39,122,17,60,8755,552,10,516,35,65,1259,108,4,98,1973,2106,457,124,24,8,23,14,20792,23,574,100779,20,42,46,469,10,71918,343,1597,2074,16,225,127,0,0,1,198,59,456,23,3507,3594,5466,212,259,925,290,23,63,256,29,2459,40,53,22,1,430,140,645,183,26,2263,146,461,11,198,977,50,3528,655,34,1012,175,821,409,1081,3106,6140,1681,195,168,4718,2,27,17,843,39,84444,544,61,102,12995,52,2232,45,25,2319,5009,188,4925,1126,50,15,297,1,13,7,27529,325,12332,3,3147,8992,160,8927,21249,11,57,49872,0,2929,1326,241,77,85,159,2407,27142,5,1135,0,34,30488,127,18063,18511,45362,2,221,12480,16,0,24,139,35,324899,91,6319,146,174,24790,25281,44,51,45,28,158,28,194,3420,20015,3035,509,14,21182,6,8902,56,3025,6,117,276,229,1232,521,3,190573,157,10490,416,35,1289,44599,113,3063,5953,757,2901,3,75,40,normal
259254,980325,965,116,1452,673,25939,1567,75,19339,3081,22,24,58980,43,33,1689,106,95,21,2009,431,43,54894,80,420,7026,27,7334,1699,13,146815,627,34828,264,90,15,574,45,53,524,526,298833,10,11,4,516,6,622,342,253,75,15,4659,17,144,8,41,34,43745,43386,79,88,13370,178664,4279,284,2891,6745,17,40,39,19707,476,44,29605,363,2937,8436,91,16,427,81,7,40,4,4183,290,14,68,4,442,356,529,22,27537,134,157,48,1546,92,4,242475,113,36,17,53,3,238,20,47,269,0,913,20,20,17,1104,2279,40,100,18,13,5836,467,2,269,10,44,399,50,6,146,3080,1452,704,115,26,7,29,20,27414,35,502,126892,54,41,38,278,3,213321,402,2007,1937,18,62,308,0,0,4,123,99,729,22,5006,4924,5846,407,1385,313,1397,20,43,1427,18,2214,18,65,7,2,465,286,507,128,79,3052,76,205,86,168,253,37,3633,2686,21,252,559,1051,159,510,1858,8843,3050,35,111,1859,5,15,56,114,23,134069,194,19,36,36814,26,14772,21,3,904,11924,224,11577,904,18,10,178,0,24,50,927,128,17610,9,229,290,208,291,31077,0,28,92210,0,4601,1393,352,25,81,160,2455,49482,95,1396,3,43,43701,193,47585,48058,28975,20,217,15364,52,3,16,15,9,591191,267,3884,6,18,46742,46682,78,7,5,2,111,0,72,5027,22337,5014,231,14,24664,9,5897,12,3000,5,4,158,149,439,294,7,163479,271,6521,199,27,432,30939,82,1730,2728,1865,1708,4,42,74,normal
148850,504438,660,21,277,121,7885,208,40,9769,331,5,5,15741,9,13,1107,78,33,13,502,92,49,13245,27,59,1365,7,1490,140,7,16862,231,3858,700,20,6,1019,6,17,1435,1431,211461,8,3,0,137,10,222,34,19,54,8,3935,13,171,16,25,3,37469,38474,85,16,4079,36614,2433,195,1463,3279,11,8,2,6046,19,6,6196,106,1565,4057,23,9,107,65,1,0,0,378,58,33,32,0,55,123,218,3,13728,123,34,19,803,114,8,283839,82,51,5,6,0,13,12,33,104,0,307,2,0,2,1006,704,9,28,15,17,2283,53,4,183,8,22,149,37,0,78,846,634,217,81,1,1,30,5,11633,18,448,37203,7,12,29,168,3,22326,81,776,428,10,59,46,1,1,4,41,58,167,10,1393,1432,1680,196,476,166,450,10,6,450,17,429,6,43,0,3,15,44,252,43,22,1223,59,96,30,100,490,8,2271,2017,15,141,256,367,38,559,549,1891,1512,227,76,2396,3,8,14,202,26,38814,85,11,32,2809,5,2897,6,0,418,6898,92,6925,526,10,3,75,0,3,16,1490,76,4213,5,457,297,76,333,7589,2,18,20216,0,1783,737,88,31,58,118,1270,15989,5,475,2,47,10499,10,5168,5224,9129,5,44,4121,6,1,1,5,0,183040,35,2045,24,28,20722,20544,11,16,22,6,70,0,42,1526,5609,1082,78,2,6180,5,3206,5,610,2,8,52,101,198,244,7,80797,36,721,58,2,159,17502,23,1239,933,217,1171,1,8,15,normal
106437,786050,729,131,1723,507,25558,1489,412,44555,5032,25,23,24528,17,127,790,169,87,28,4502,546,77,113841,68,341,12622,18,12866,2087,28,142315,1016,48676,110,89,14,863,111,160,809,809,738551,15,7,4,1340,2,1018,653,501,53,3,4426,43,186,2,127,47,29419,30056,16,72,5362,123624,7890,534,6286,7464,8,33,77,22588,215,41,111133,283,2014,6043,71,98,537,150,2,42,5,4104,612,38,44,1,467,476,590,45,27022,108,127,79,3187,45,4,92404,467,42,21,79,6,170,42,60,458,0,542,46,14,18,544,3037,79,160,28,22,7574,1050,31,211,6,65,683,30,6,183,3155,1619,747,163,20,37,74,18,43238,137,445,163533,75,61,47,229,21,257852,639,6100,2071,53,146,599,0,0,3,200,57,1442,53,11170,11081,7450,598,892,226,958,7,44,884,16,1100,4,135,3,6,500,494,517,120,120,3260,81,254,48,174,337,53,5792,1972,49,233,1278,645,174,293,2475,11547,3117,57,124,1390,4,44,88,58,40,272029,935,19,132,19736,33,8248,11,1,1359,47741,247,46784,996,42,6,98,1,28,18,854,135,19342,33,223,130,254,130,34600,1,37,289720,1,5695,1660,277,19,212,387,1703,35254,13,1922,11,46,48625,316,48689,49619,23361,11,159,20510,123,7,31,14,3,498482,316,7737,8,20,144726,145082,75,17,15,2,70,3,57,10315,24181,6421,128,43,26332,39,9195,14,7665,11,23,179,275,959,570,12,101970,4128,4705,210,10,980,31550,70,2580,4338,3593,2558,8,21,77,normal
148599,1203263,1542,39,611,1016,15975,852,59,27889,1143,15,8,29415,11,30,2029,125,70,24,1374,141,32,20317,29,149,3678,9,3871,645,8,62926,487,16858,792,42,7,830,19,39,2993,2994,393397,17,24,7,364,7,748,55,43,101,0,8246,21,510,8,53,3,48565,48074,479,34,5692,60406,3290,370,1905,6669,6,12,17,15590,80,13,38203,254,3365,6197,32,28,148,94,6,10,2,665,167,26,116,4,352,160,529,16,34550,198,77,133,1341,90,6,304050,134,51,21,28,2,94,25,27,134,0,1111,22,12,4,1060,1609,40,22,22,9,6828,178,10,194,9,34,490,48,0,121,1503,1210,474,97,5,5,24,33,54779,22,511,76755,22,21,61,174,9,59695,201,1496,1327,12,77,254,0,0,3,93,73,515,15,4561,4615,3222,251,451,413,418,35,16,452,19,844,23,57,1,9,50,181,417,59,60,3540,57,184,41,133,815,67,2342,911,18,472,151,1069,215,756,1363,4802,1162,81,37,3327,9,30,12,220,35,97630,163,18,22,31894,13,5263,18,1,1749,7315,143,7237,637,12,9,166,0,11,36,2111,238,7532,13,308,666,116,713,13406,0,34,31118,1,3776,1505,153,40,121,209,1330,39469,4,1603,1,46,17977,20,16283,16381,18494,27,119,19828,24,2,3,8,11,383677,47,5490,70,75,31221,31583,23,32,30,16,85,3,85,7030,17366,3981,229,3,18681,3,5483,7,2340,4,10,104,191,393,466,5,154280,40,6276,188,4,360,35504,60,4316,3081,264,4261,2,18,26,normal
140262,570803,556,88,1149,136,16713,809,71,14835,2338,25,26,23219,14,51,1028,107,60,24,1276,267,45,60941,39,273,5405,26,5540,1625,29,85106,463,26483,138,54,19,318,55,26,304,302,217597,17,11,14,422,4,297,284,241,43,1,2748,32,186,8,58,50,20455,20559,89,36,5593,126767,6626,524,2438,4530,5,13,24,11603,276,36,22283,279,1520,4873,75,56,360,104,11,24,4,3636,202,83,12,2,466,344,343,20,18871,92,119,27,2609,65,1,155311,654,58,15,27,8,94,34,123,349,2,365,39,12,12,608,1697,28,160,34,11,3067,1143,13,312,5,32,415,24,6,82,2406,1079,390,81,12,19,63,9,12995,52,261,85945,53,177,24,152,59,198106,274,1686,1033,35,182,123,2,2,6,97,50,610,34,3226,3181,4711,278,942,204,983,5,59,898,8,588,75,185,10,18,476,126,214,103,41,1817,109,196,31,164,140,9,8864,1976,86,194,1931,558,73,148,1793,6800,1902,23,211,1015,1,9,97,34,57,154233,173,37,82,20772,24,7288,4,3,904,12707,158,12651,789,17,11,80,0,7,11,761,83,18254,13,270,206,156,194,33933,10,40,96005,0,2708,725,544,7,54,83,1773,22263,30,851,34,22,49260,127,29051,28979,17604,6,109,6900,39,13,32,21,5,292736,551,2798,2,3,48156,48215,28,10,6,0,59,2,45,2647,14667,2785,79,32,16308,38,7377,14,1686,2,8,105,207,469,386,21,70181,1158,1755,99,15,505,15762,261,951,2321,2913,888,42,17,64,normal
233133,731665,780,153,1166,262,18801,1118,45,19055,2964,14,12,44525,30,41,1105,145,104,22,1977,240,56,70356,53,296,3693,19,3984,1242,7,75060,833,22216,537,55,10,912,27,78,887,888,559327,10,21,7,574,5,399,192,162,98,2,5071,36,644,7,41,3,34488,34695,159,37,9975,53841,5021,220,5235,6831,7,29,33,12966,144,18,67062,351,2115,7206,51,41,171,106,27,20,1,1628,291,30,88,6,212,173,329,11,25251,115,162,88,2039,71,6,249635,141,43,52,74,8,59,23,35,173,0,698,30,44,9,682,1634,36,91,11,31,9915,273,13,283,6,36,475,32,2,170,1507,1392,391,158,2,6,29,43,58354,41,261,141154,34,17,36,116,15,75142,630,2473,1968,18,110,232,0,1,2,125,83,669,21,7300,7251,3715,335,642,334,649,62,30,592,12,2169,35,71,3,5,154,209,409,219,39,2924,62,274,58,116,525,45,3382,1396,64,222,467,662,621,380,1212,3667,2157,83,66,1918,8,15,25,156,40,159256,314,12,54,15841,7,8043,13,6,927,25738,198,25752,964,13,8,153,0,11,10,1225,93,14102,5,250,448,183,451,25624,1,61,141104,0,2763,1595,197,20,137,391,1748,29615,6,1151,4,36,37634,64,28493,28508,34722,51,133,19765,33,6,9,7,15,541750,99,6682,6,4,70103,70899,14,15,14,0,104,0,55,7164,10083,3074,346,12,10292,7,8779,5,4149,11,18,157,238,358,709,11,100252,293,2658,147,2,346,26870,33,4224,2148,984,4171,2,15,35,normal
132795,542271,650,58,705,292,11556,591,39,8135,981,10,10,22288,7,26,1208,62,34,6,466,146,21,23734,47,140,1983,3,2072,447,5,53584,174,13427,488,22,6,640,14,19,1272,1271,165069,8,5,0,166,4,235,73,53,36,1,1946,2,85,7,17,4,19352,19278,22,27,5955,44485,1630,156,1093,2324,6,14,15,6158,64,7,13202,122,1730,3940,32,14,111,39,8,0,1,518,84,10,48,2,171,106,160,5,12317,72,58,60,522,74,5,214156,68,14,7,5,6,63,10,22,105,0,368,4,8,1,550,737,17,74,6,45,2214,65,3,133,5,20,256,62,2,54,883,553,257,67,6,5,8,6,10272,14,188,54197,11,10,17,134,2,57715,189,792,502,9,34,95,0,0,1,22,37,159,10,1700,1699,1743,99,1265,238,1280,4,13,1301,8,642,9,24,2,4,56,95,396,43,22,1242,44,86,35,61,522,15,1129,493,17,150,267,251,57,131,704,2561,2200,12,33,1442,5,7,8,407,19,49433,103,18,38,15071,12,5934,2,4,572,4869,149,4983,409,10,4,75,0,5,24,1103,93,4449,5,484,240,119,248,7995,0,16,36808,0,1478,574,59,3,61,83,1310,23037,2,630,0,15,11163,27,15008,15354,9503,15,76,5225,8,0,8,27,4,256421,58,1365,8,4,18171,18270,22,3,1,4,53,2,56,1980,10131,1646,93,4,11346,4,2206,2,911,3,37,65,53,150,178,6,86382,65,1028,54,7,176,15331,20,686,1541,331,685,1,31,20,normal
130073,391869,284,189,1683,55,23573,1268,11,8501,3349,33,25,21509,13,51,2984,78,53,28,1963,361,43,30613,17,210,2468,20,2641,1857,53,26093,544,12029,105,93,47,433,68,66,337,340,73281,15,9,2,242,16,424,149,125,42,0,1587,77,108,5,191,205,22754,22698,16,150,6681,104833,8870,1244,2010,3184,25,35,47,12384,556,71,17921,146,941,9443,33,68,208,530,9,22,5,4721,283,158,44,14,255,210,543,32,11839,124,190,37,9248,118,5,126956,489,354,41,48,12,41,79,297,243,0,373,24,26,27,1322,4057,38,161,112,17,2869,1639,41,395,2,27,404,20,6,216,1221,1209,869,204,2,25,150,23,10109,96,467,59265,129,225,32,232,139,198615,216,1658,443,69,598,353,0,0,3,132,68,502,61,1914,1849,2647,485,1419,197,1385,7,20,1425,29,546,116,485,12,71,246,306,439,158,18,1078,70,125,87,131,591,28,11036,3849,100,218,2524,578,132,210,1787,3505,1919,16,848,1948,5,4,207,102,122,49200,428,27,124,6100,39,8950,23,2,1108,5436,161,5390,769,25,16,70,0,4,21,1316,207,12459,8,440,163,137,170,21509,1,25,46496,0,2837,640,1121,20,40,81,1711,11920,283,1020,20,32,31066,104,15051,15126,12149,6,95,1953,43,17,24,66,0,198626,604,1794,3,7,23313,23202,63,1,4,0,62,8,41,2287,15663,2955,106,56,18355,62,3250,21,2205,3,20,217,215,820,347,78,43722,1674,2674,132,4,812,19151,28,980,994,1324,987,180,12,110,normal
